FY,2019/20,2020/21,2021/22,2022/23,2023/24
Total packaging material used for finished products (metric tons),n/a,"115,041","119,621","99,978","80,154"
Average packaging weight per unit by product category (grams):,,,,,
Notebook,n/a,528,528,528,559
Desktop,n/a,"1,900","1,900","1,900","1,739"
Server,n/a,"4,614","4,614","4,614","4,614"
Workstation,n/a,"1,700","1,700","1,700","2,198"
Monitor,n/a,"1,920","1,920","1,920","1,815"
Smartphone,n/a,100,100,110,113
Tablet,n/a,373,373,373,444
Accessory,n/a,300,300,300,300
