“Comply,or explain” Provisions,Page number(s),Other reference material(s)
Aspect,B3: Development and Training,,
General Policies discharging,Disclosure on improving employees’ knowledge and skills for duties at work. Description of training activities.,59-61,
Note:,Training refers to vocational training. It may include internal and external courses paid by the employer.,,
KPI B3.1,"The percentage of employees trained by gender and employee category (e.g. senior management, middle management).",106,
KPI B3.2,The average training hours completed per employee by gender and employee category.,107,
Aspect,B4: Labour Standards,,
General Information (a) the (b) relating,Disclosure on: policies; and compliance with relevant laws and regulations that have a significant impact on the issuer to preventing child and forced labour.,"44, 96-97",
KPI B4.1,Description of measures to review employment practices to avoid child and forced labour.,"44, 96-97",
KPI B4.2,Description of steps taken to eliminate such practices when discovered.,"44, 96-97",
Operating,Practices,,
Aspect,B5: Supply Chain Management,,
General Policies chain.,Disclosure on managing environmental and social risks of the supply,"88-98, 100-101",
KPI B5.1,Number of suppliers by geographical region.,88,
KPI B5.2,"Description of practices relating to engaging suppliers, number of suppliers where the practices are being implemented, and how they are implemented and monitored.","88-98, 100-101",
KPI B5.3,"Description of practices used to identify environmental and social risks along the supply chain, and how they are implemented and monitored.","88-98, 100-101",
KPI B5.4,"Description of practices used to promote environmentally preferable products and services when selecting suppliers, and how they are implemented and monitored.","88-98, 100-101",
