GRI Standard,Disclosure,Page number(s),Other reference material(s)
,305-1 Direct (Scope 1) GHG emissions,109,
,305-2 Energy indirect (Scope 2) GHG emissions,109,
,305-3 Other indirect (Scope 3) GHG emissions,109,
GRI 305: Emissions 2016,305-4 GHG emissions intensity,110,
,305-5 Reduction of GHG emissions,"21, 109-110",
,305-6 Emissions of ozone-depleting substances (ODS),22,
Waste,,,
GRI 3: Material Topics 2021,3-3 Management of material topic,"18, 25-26, 39-40",
,306-1 Waste generation and significant waste-related impacts,"25-26, 39-40",
GRI 306: Waste,306-2 Management of significant waste-related impacts,"25-26, 39-40",
2020,306-3 Waste generated,113,
,306-4 Waste diverted from disposal,113,
,306-5 Waste directed to disposal,113,
Supplier Environmental,Assessment,,
GRI 3: Material Topics 2021,3-3 Management of material topic,"88-96, 100-101",
GRI 308: Supplier,308-1 New suppliers that were screened using environmental criteria,"88-89, 100-101",
Environmental Assessment 2016,308-2 Negative environmental impacts in the supply chain and actions taken,"88-98, 100-101",
