FY,2019/20,2020/21,2021/22,2022/23,2023/24
US employees by race/ethnic background (%),,,,,
Asian,17%,17%,17%,17%,17%
Black or African American,8%,8%,9%,9%,9%
Hispanic or Latinx,6%,6%,6%,7%,7%
White,66%,66%,65%,63%,63%
Remaining under-represented groups2,2%,2%,2%,3%,3%
No data,1%,1%,1%,1%,1%
US executives by race/ethnic background (%),,,,,
Asian,18%,18%,18%,20%,21%
Black or African American,3%,2%,2%,2%,2%
Hispanic or Latinx,6%,7%,8%,7%,5%
White,72%,72%,72%,70%,68%
Remaining under-represented groups2,1%,1%,1%,1%,1%
No data,0%,0%,0%,1%,2%
US employees in technical roles by race/ethnic,background (%),,,,
Asian,27%,26%,26%,27%,26%
Black or African American,6%,7%,8%,8%,8%
Hispanic or Latinx,5%,5%,5%,5%,6%
White,60%,60%,58%,56%,55%
Remaining under-represented groups2,2%,2%,2%,2%,2%
No data,1%,1%,2%,2%,2%
