,2017,2018,2019,2020,2021,2022
Volumetric water restoration benefits,-,"132,000","145,000","2,250,000","2,335,672","2,351,562"
Progress on 2030 net,positive water,goal (in cubic,meters),,,
,2017,2018,2019,2020,2021,2022
Total water consumption,"838,000","1,279,000","1,971,000","2,202,000","2,569,000","2,638,000"
Total water restored,-,"132,000","145,000","2,250,000","2,335,672","2,351,562"
Water use embedded,in purchased,electricity (In,cubic meters),,,
,2017,2018,2019,2020,2021,2022
Embedded consumption in purchased electricity - location-based,-,-,-,-,"31,923,969","41,172,356"
Embedded consumption in purchased electricity - market-based,-,-,-,-,"3,312,616","2,894,787"
Avoided water consumption,-,-,-,-,"28,611,342","38,277,569"
