,2017,2018,2019,2020,2021,2022
Leased data center facilities,"473,000","533,000","1,011,000","645,000","603,629","772,921"
Other data center-related facilities,"85,000","264,000","54,000","42,000",197,0
Offices total,"470,000","631,000","699,000","726,000","1,624,773","1,275,021"
Water withdrawal by,source,,,,,
Water withdrawal by source,(in cubic meters),,,,,
,2017,2018,2019,2020,2021,2022
Total water withdrawal,"1,609,000","2,367,000","3,430,000","3,726,000","5,042,564","4,893,023"
From surface water,-,-,-,-,0,0
From groundwater,-,-,-,"37,000","33,285","37,343"
From seawater,-,-,-,-,0,0
From produced water,-,-,-,-,0,0
From third-party water (e.g. municipal water supply),-,-,-,"3,689,000","5,009,279","4,855,680"
Water usage effectiveness,(WUE),,,,,
,2017,2018,2019,2020,2021,2022
Annual data center WUE,0.24,0.27,0.27,0.30,0.26,0.20
