荣誉奖项,获奖单位,颁发机构
重庆市优秀民营企业,赛力斯集团股份有限公司,中共重庆市委 重庆市人民政府
重庆市企业创新奖,赛力斯集团股份有限公司,重庆市人民政府
重庆市宣传文化思想工作先进集体,赛力斯集团股份有限公司,中共重庆市委宣传部 重庆市人力资源和社会保障局
重庆专利奖（金奖）,赛力斯集团股份有限公司,重庆市人力资源和社会保障局 重庆市知识产权局
2023 年重庆数字化领军企业,赛力斯集团股份有限公司,重庆市经济和信息化委员会
2023 年度先进集体,赛力斯集团股份有限公司,重庆市机械工程学会
2023 重庆民营企业科技创新指数 100 强（第 1 名）,赛力斯集团股份有限公司,重庆市工商业联合会
工信部千家优秀企业 AA 级社会责任报告,赛力斯集团股份有限公司,中国企业公众透明度研究中心
2022 年度爱心企业,赛力斯集团股份有限公司,中华慈善总会
“金桔奖” ESG 时代先锋上市公司奖,赛力斯集团股份有限公司,时代周报
“水晶球奖” 最具社会责任（ESG）上市公司,赛力斯集团股份有限公司,证券市场周刊
2023 年上市公司 ESG 优秀实践案例,赛力斯集团股份有限公司,中国上市公司协会
重庆市民营企业社会责任 100 强（第 2 名）,赛力斯集团股份有限公司,重庆市工商业联合会
重庆市 2023 年度绿色低碳典型案例,赛力斯集团股份有限公司,重庆市生态环境局
2023 年度慈善捐赠贡献奖,赛力斯集团股份有限公司,重庆市慈善总会
