,,,,,
,B5.4,,,"Description of practices used to promote environmentally preferable products and services when selecting suppliers, and how they are implemented and monitored.",
,A3,,,Policies on minimising the issuer’s significant impacts on the environment and natural resources.,
,A3.1,,,Description of the significant impacts of activities on the environment and natural resources and the actions taken to manage them.,
,,2-6,,"Activities, value chain and other business relationships",
,,308-1,,New suppliers that were screened using environmental criteria,
,,308-2,,Negative environmental impacts in the supply chain and actions taken,
,,407-1,,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,
,,408-1,,Operations and suppliers at significant risk for incidents of child labor,
,,409-1,,Operations and suppliers at significant risk for incidents of forced or compulsory labor,
,,414-1,,New suppliers that were screened using social criteria,
,,414-2,,Negative social impacts in the supply chain and actions taken,
,,,TC-HW￾430a.1,"Percentage of Tier 1 supplier facilities audited in the RBA Validated Audit Process (VAP) or equivalent, by (a) all facilities and (b) high-risk facilities",
,,,TC-HW￾430a.2,"Tier 1 suppliers’ (1) non-conformance rate with the RBA Validated Audit Process (VAP) equivalent, and (2) associated corrective action rate for (a) priority non-conformances and (b) other non-conformances",or
Social Welfare and Community Engagement,B3,,,Policies on improving employees’ knowledge and skills for discharging duties at work. Description of training activities.,
,B8,,,Policies on community engagement to understand the needs of the communities where the issuer operates and to ensure its activities take into consideration the communities’ interests.,
,B8.1,,,"Focus areas of contribution (e.g. education, environmental concerns, labour needs, health, culture, sport).",
,B8.2,,,Resources contributed (e.g. money or time) to the focus area.,
,,203-1,,Infrastructure investments and services supported,
,,203-2,,Significant indirect economic impacts,
